@cat01,@cat02,@cat03,@area,@time,@unit,$
001,001,01095,00000,1901,千人,273
001,001,01096,00000,1601,千人,173
001,001,01096,00000,1301,千人,186
001,001,01096,00000,1701,千人,190
001,001,01096,00000,1801,千人,214
001,001,01096,00000,1901,千人,218
001,001,01097,00000,1601,千人,125
001,001,01097,00000,1301,千人,137
001,001,01097,00000,1701,千人,146
001,001,01097,00000,1801,千人,148
001,001,01097,00000,1901,千人,171
001,001,01098,00000,1601,千人,91
001,001,01098,00000,1301,千人,97
001,001,01098,00000,1701,千人,104
001,001,01098,00000,1801,千人,110
001,001,01098,00000,1901,千人,112
001,001,01099,00000,1601,千人,66
001,001,01099,00000,1301,千人,69
001,001,01099,00000,1701,千人,71
001,001,01099,00000,1801,千人,75
001,001,01099,00000,1901,千人,81
001,001,01100,00000,1601,千人,45
001,001,01100,00000,1301,千人,48
001,001,01100,00000,1701,千人,49
001,001,01100,00000,1801,千人,50
001,001,01100,00000,1901,千人,52
001,001,01101,00000,1601,千人,80
001,001,01101,00000,1301,千人,85
001,001,01101,00000,1701,千人,87
001,001,01101,00000,1801,千人,87
001,001,01101,00000,1901,千人,87
001,002,01000,00000,1601,千人,123399
001,002,01000,00000,1301,千人,122780
001,002,01000,00000,1701,千人,122031
001,002,01000,00000,1801,千人,121193
001,002,01000,00000,1901,千人,120296
001,002,01001,00000,1601,千人,821
001,002,01001,00000,1301,千人,812
001,002,01001,00000,1701,千人,781
001,002,01001,00000,1801,千人,739
001,002,01001,00000,1901,千人,695
001,002,01002,00000,1601,千人,855
001,002,01002,00000,1301,千人,820
001,002,01002,00000,1701,千人,811
001,002,01002,00000,1801,千人,780
001,002,01002,00000,1901,千人,738
001,002,01003,00000,1601,千人,899
001,002,01003,00000,1301,千人,854
001,002,01003,00000,1701,千人,819
001,002,01003,00000,1801,千人,810
001,002,01003,00000,1901,千人,780
001,002,01004,00000,1601,千人,922
001,002,01004,00000,1301,千人,898
001,002,01004,00000,1701,千人,854
001,002,01004,00000,1801,千人,819
001,002,01004,00000,1901,千人,810
001,002,01005,00000,1601,千人,962
001,002,01005,00000,1301,千人,922
001,002,01005,00000,1701,千人,898
001,002,01005,00000,1801,千人,853
001,002,01005,00000,1901,千人,818
001,002,01006,00000,1601,千人,988
001,002,01006,00000,1301,千人,962
001,002,01006,00000,1701,千人,922
001,002,01006,00000,1801,千人,897
001,002,01006,00000,1901,千人,853
001,002,01007,00000,1601,千人,985
001,002,01007,00000,1301,千人,988
001,002,01007,00000,1701,千人,961
001,002,01007,00000,1801,千人,922
001,002,01007,00000,1901,千人,897
001,002,01008,00000,1601,千人,1010
001,002,01008,00000,1301,千人,985
001,002,01008,00000,1701,千人,987
001,002,01008,00000,1801,千人,961
001,002,01008,00000,1901,千人,921
001,002,01009,00000,1601,千人,1014
001,002,01009,00000,1301,千人,1010
001,002,01009,00000,1701,千人,985
001,002,01009,00000,1801,千人,987
001,002,01009,00000,1901,千人,961
001,002,01010,00000,1601,千人,1040
001,002,01010,00000,1301,千人,1014
001,002,01010,00000,1701,千人,1010
001,002,01010,00000,1801,千人,985
001,002,01010,00000,1901,千人,987
001,002,01011,00000,1601,千人,1050
001,002,01011,00000,1301,千人,1041
001,002,01011,00000,1701,千人,1014
001,002,01011,00000,1801,千人,1010
001,002,01011,00000,1901,千人,985
001,002,01012,00000,1601,千人,1056
001,002,01012,00000,1301,千人,1050
001,002,01012,00000,1701,千人,1041
001,002,01012,00000,1801,千人,1014
001,002,01012,00000,1901,千人,1011
001,002,01013,00000,1601,千人,1076
001,002,01013,00000,1301,千人,1056
001,002,01013,00000,1701,千人,1051
001,002,01013,00000,1801,千人,1041
001,002,01013,00000,1901,千人,1015
001,002,01014,00000,1601,千人,1070
001,002,01014,00000,1301,千人,1076
001,002,01014,00000,1701,千人,1056
001,002,01014,00000,1801,千人,1051
001,002,01014,00000,1901,千人,1041
001,002,01015,00000,1601,千人,1063
001,002,01015,00000,1301,千人,1071
001,002,01015,00000,1701,千人,1076
001,002,01015,00000,1801,千人,1057
001,002,01015,00000,1901,千人,1051
001,002,01016,00000,1601,千人,1065
001,002,01016,00000,1301,千人,1063
001,002,01016,00000,1701,千人,1071
001,002,01016,00000,1801,千人,1076
001,002,01016,00000,1901,千人,1057
001,002,01017,00000,1601,千人,1108
001,002,01017,00000,1301,千人,1064
001,002,01017,00000,1701,千人,1062
001,002,01017,00000,1801,千人,1070
001,002,01017,00000,1901,千人,1076
001,002,01018,00000,1601,千人,1118
001,002,01018,00000,1301,千人,1107
001,002,01018,00000,1701,千人,1063
001,002,01018,00000,1801,千人,1061
001,002,01018,00000,1901,千人,1070
001,002,01019,00000,1601,千人,1157
001,002,01019,00000,1301,千人,1118
001,002,01019,00000,1701,千人,1107
001,002,01019,00000,1801,千人,1064
001,002,01019,00000,1901,千人,1062
001,002,01020,00000,1601,千人,1172
001,002,01020,00000,1301,千人,1155
001,002,01020,00000,1701,千人,1115
001,002,01020,00000,1801,千人,1105
001,002,01020,00000,1901,千人,1061
001,002,01021,00000,1601,千人,1176
001,002,01021,00000,1301,千人,1169
001,002,01021,00000,1701,千人,1149
001,002,01021,00000,1801,千人,1111
001,002,01021,00000,1901,千人,1102
001,002,01022,00000,1601,千人,1174
001,002,01022,00000,1301,千人,1173
001,002,01022,00000,1701,千人,1162
001,002,01022,00000,1801,千人,1146
001,002,01022,00000,1901,千人,1109
001,002,01023,00000,1601,千人,1190
001,002,01023,00000,1301,千人,1172
001,002,01023,00000,1701,千人,1169
001,002,01023,00000,1801,千人,1163
001,002,01023,00000,1901,千人,1148
001,002,01024,00000,1601,千人,1187
001,002,01024,00000,1301,千人,1189
001,002,01024,00000,1701,千人,1171
001,002,01024,00000,1801,千人,1169
001,002,01024,00000,1901,千人,1163
001,002,01025,00000,1601,千人,1188
001,002,01025,00000,1301,千人,1186
001,002,01025,00000,1701,千人,1188
001,002,01025,00000,1801,千人,1170
001,002,01025,00000,1901,千人,1169
001,002,01026,00000,1601,千人,1203
001,002,01026,00000,1301,千人,1187
001,002,01026,00000,1701,千人,1184
001,002,01026,00000,1801,千人,1186
001,002,01026,00000,1901,千人,1168
001,002,01027,00000,1601,千人,1202
001,002,01027,00000,1301,千人,1202
001,002,01027,00000,1701,千人,1185
001,002,01027,00000,1801,千人,1182
001,002,01027,00000,1901,千人,1184
001,002,01028,00000,1601,千人,1173
001,002,01028,00000,1301,千人,1201
001,002,01028,00000,1701,千人,1200
001,002,01028,00000,1801,千人,1182
001,002,01028,00000,1901,千人,1180
001,002,01029,00000,1601,千人,1190
001,002,01029,00000,1301,千人,1172
001,002,01029,00000,1701,千人,1199
001,002,01029,00000,1801,千人,1198
001,002,01029,00000,1901,千人,1181
001,002,01030,00000,1601,千人,1183
001,002,01030,00000,1301,千人,1188
001,002,01030,00000,1701,千人,1170
001,002,01030,00000,1801,千人,1197
001,002,01030,00000,1901,千人,1196
001,002,01031,00000,1601,千人,1204
001,002,01031,00000,1301,千人,1182
001,002,01031,00000,1701,千人,1186
001,002,01031,00000,1801,千人,1168
001,002,01031,00000,1901,千人,1196
001,002,01032,00000,1601,千人,1231
001,002,01032,00000,1301,千人,1203
001,002,01032,00000,1701,千人,1181
001,002,01032,00000,1801,千人,1185
001,002,01032,00000,1901,千人,1167
001,002,01033,00000,1601,千人,1276
001,002,01033,00000,1301,千人,1231
001,002,01033,00000,1701,千人,1202
001,002,01033,00000,1801,千人,1180
001,002,01033,00000,1901,千人,1185
001,002,01034,00000,1601,千人,1314
001,002,01034,00000,1301,千人,1275
001,002,01034,00000,1701,千人,1230
001,002,01034,00000,1801,千人,1202
001,002,01034,00000,1901,千人,1180
001,002,01035,00000,1601,千人,1338
001,002,01035,00000,1301,千人,1313
001,002,01035,00000,1701,千人,1274
001,002,01035,00000,1801,千人,1229
001,002,01035,00000,1901,千人,1201
001,002,01036,00000,1601,千人,1392
001,002,01036,00000,1301,千人,1337
001,002,01036,00000,1701,千人,1312
001,002,01036,00000,1801,千人,1274
001,002,01036,00000,1901,千人,1229
001,002,01037,00000,1601,千人,1440
001,002,01037,00000,1301,千人,1391
001,002,01037,00000,1701,千人,1336
001,002,01037,00000,1801,千人,1312
001,002,01037,00000,1901,千人,1274
001,002,01038,00000,1601,千人,1459
001,002,01038,00000,1301,千人,1440
001,002,01038,00000,1701,千人,1390
001,002,01038,00000,1801,千人,1336
001,002,01038,00000,1901,千人,1311
001,002,01039,00000,1601,千人,1459
001,002,01039,00000,1301,千人,1459
001,002,01039,00000,1701,千人,1439
001,002,01039,00000,1801,千人,1389
001,002,01039,00000,1901,千人,1335
001,002,01040,00000,1601,千人,1478
001,002,01040,00000,1301,千人,1459
001,002,01040,00000,1701,千人,1458
001,002,01040,00000,1801,千人,1438
001,002,01040,00000,1901,千人,1388
001,002,01041,00000,1601,千人,1546
001,002,01041,00000,1301,千人,1477
001,002,01041,00000,1701,千人,1458
001,002,01041,00000,1801,千人,1457
001,002,01041,00000,1901,千人,1438
001,002,01042,00000,1601,千人,1586
001,002,01042,00000,1301,千人,1546
001,002,01042,00000,1701,千人,1476
001,002,01042,00000,1801,千人,1457
001,002,01042,00000,1901,千人,1457
001,002,01043,00000,1601,千人,1651
001,002,01043,00000,1301,千人,1585
001,002,01043,00000,1701,千人,1545
001,002,01043,00000,1801,千人,1476
001,002,01043,00000,1901,千人,1456
001,002,01044,00000,1601,千人,1697
001,002,01044,00000,1301,千人,1650
001,002,01044,00000,1701,千人,1584
001,002,01044,00000,1801,千人,1544
001,002,01044,00000,1901,千人,1475
001,002,01045,00000,1601,千人,1780
001,002,01045,00000,1301,千人,1696
001,002,01045,00000,1701,千人,1649
001,002,01045,00000,1801,千人,1584
